param n_roomsets := 10;
param n_people := 20;

# each roomset refers to some set of spots
# single has capacity 1, double 2, suite 9 e.g.
param capacity :=
1 4 2 1 3 9 4 2 5 2 6 1 7 3 8 1 9 5 10 1;

set LINKS := 
(1, 5) (1,7) (1, 9)
(2, 6) (2, 3) (2, 7)
(3, 2) (3, 7) (3, 9)
(4, 2) (4, 4) (4, 1) 
(5, 5) (5, 4) (5, 9)
(6, 3) (6, 1) (6, 5) (6, 2)
(7, 2) (7, 5) (7, 8) (7, 6) (7, 9)
(8, 9) (8, 1) (8, 5)
(9, 6) (9, 10) (9, 1)
(10, 5) (10, 6) 
(11, 5) (11, 1)
(12, 4) (12, 5) (12, 6)
(13, 9) (13, 8) (13, 4) 
(14, 6) (14, 8) (14, 3)
(15, 2) (15, 8) (15, 9) (15, 4)
(16, 4) (16, 6)
(17, 3) (17, 10) (17, 9)
(18, 3) (18, 4) (18, 1)
(19, 4) (19, 3) (19, 7)
(20, 1) (20, 3) (20 , 9) (20, 10);

param utility: 1 2 3 4 5 6 7 8 9 10 := 
1 	0 0 0 0 5 0 4 0 3 0
2 	0 0 3 0 0 4 2 0 0 0 
3 	0 4 0 0 0 0 2 0 0 0
4   2 4 0 3 0 0 0 0 0 0
5   0 0 0 1 2 0 0 0 0 0
6   4 1 5 0 3 0 0 0 0 0
7   0 5 0 0 4 2 0 3 1 0
8   2 0 0 0 1 0 0 0 4 0
9   0 0 0 0 0 3 0 0 0 1 
10  0 0 0 0 5 2 0 0 0 0
11  2 0 0 0 5 0 0 0 0 0
12  0 0 0 3 2 1 0 0 0 0
13  0 0 0 2 0 0 0 4 5 0
14  0 0 3 0 0 5 0 4 0 0
15  0 0 0 0 0 0 0 0 0 0 
16  0 0 0 4 0 2 0 0 0 0
17  0 0 2 0 0 0 0 0 0 0
18  1 0 5 2 0 0 0 0 0 0
19  0 0 3 5 0 0 0 0 0 0
20  5 0 4 0 0 0 0 0 3 2; 
