# these numbers must be the same in this formulation
param n_rooms := 20;
param n_people := 20;
param n_preferences := 5;

# room number prereferces
param preference_lower: 1 2 3 4 5 := 
1       5	7	19	13	9	
2       16	6	3	6	18	
3       14	2	15	7	14	
4       15	2	4	2	16	
5       18	5	18	13	5	
6       3	1	5	15	3	
7       2	5	8	6	9	
8       13	9	12	1	5	
9       19	17	6	13	10	
10      5	17	19	5	14	
11      5	17	12	1	15	
12      16	18	4	4	4	
13      9	8	13	4	15	
14      6	8	3	11	14	
15      12	18	19	16	14	
16      17	4	12	6	13	
17      16	17	13	3	14	
18      3	12	17	4	1	
19      4	12	3	11	11	
20      14	14	16	12	18
;

# room number prereferces
param preference_upper: 1 2 3 4 5 := 
1        5  11  20  17   9	
2       16   9   7   9  20	
3       16   3  16   8  15	
4       16   4   5   5  17	
5       18   5  18  16   8	
6        3   5   5  16   6	
7        2   8  10   6  13	
8       16  12  14   2   8	
9       19  19   9  14  14	
10       8  17  19   6  17	
11       9  20  13   2  16	
12      18  20   7   4   4	
13      11   9  13   5  18	
14       9  12   5  15  14	
15      15  19  20  17  16	
16      17   6  16   8  17	
17      17  20  15   5  16	
18       3  12  18   6   5	
19       8  14   6  11  14	
20      17  14  17  16  20
;


param weights :=
1   5
2   4
3   3
4   2
5   1
;
